MT189,A'Bhuidheanach Bheag - Glas Mheall Mor,,,,928,NN680769,,M240;
MT180,A'Chailleach - Toman Coinich,,,,935,NH148713,,M144;
MT157,A'Chralaig - A'Chioch,,,,947,NH108152,,M033;
MT075,A'Chralaig - Stob Coire na Cralaig [Mullach Fraoch-choire S Top],,,,1008,NH091163,,M033;
MT224,Am Basteir - Bhasteir Tooth,,,,916,NG464253,,M242;
MT113,An Gearanach - An Garbhanach,,,,975,NN188665,,M166;
MT030,An Riabhachan SW Top,,,,1086,NH122336,,M029;
MT056,An Riabhachan West Top,,,,1040,NH117337,,M029;
MT175,An Socach East Top,,,,938,NO099805,,M227;
MT130,Aonach Beag - Sgurr a'Bhuic,,,,963,NN204701,,M007;
MT026,Aonach Beag - Stob Choire Bhealach,,,,1100,NN202709,,M007;
MT171,Aonach Eagach - Stob Coire Leith,,,,940,NN149584,,M118;M212
MT098,Aonach Meadhoin - Sgurr an Fhuarail,,,,987,NH054139,,M135;
MT040,Aonach Mor - Stob an Cul Choire,,,,1068,NN203731,,M008;
MT216,Aonach Mor - Tom na Sroine,,,,918,NN207745,,M008;
MT159,Beinn a'Bheithir - Sgorr Bhan,,,,947,NN062560,,M107;
MT009,Beinn a'Bhuird - Cnap a'Chleirich,,,,1174,NJ107010,,M011;
MT021,Beinn a'Bhuird - Stob an t'Sluichd,,,,1107,NJ112027,,M011;
MT006,Beinn a'Bhuird South Top,,,,1179,NO092986,,M011;
MT068,Beinn a'Chaorainn - Beinn a'Chaorainn Bheag,,,,1017,NJ057017,,M058;
MT052,Beinn a'Chaorainn North Top,,,,1044,NN383857,,M080;
MT048,Beinn a'Chaorainn South Top,,,,1049,NN386845,,M080;
MT108,Beinn a'Chreachain - Meall Buidhe,,,,978,NN359438,,M061;
MT174,Beinn a'Chroin West Top,,,,938,NN385185,,M231;
MT042,Beinn a'Ghlo - Airgiod Bheinn,,,,1061,NN961720,,M126;M066;
MT079,Beinn Achaladair South Top,,,,1002,NN342420,,M094;
MT149,Beinn Bheoil - Sron Coire na h-Iolaire,,,,955,NN513704,,M112;
MT193,Beinn Bhreac West Top,,,,927,NO052972,,M249;
MT166,Beinn Bhrotain - Carn Cloich-mhuilinn,,,,942,NN968906,,M109;
MT200,Beinn Eibhinn - Meall Glas Choire,,,,924,NN436727,,M048;
MT204,Beinn Eibhinn - Mullach Coire nan Nead,,,,922,NN430734,,M048;
MT152,Beinn Fhada - Meall an Fhuarain Mhoir [Ceum na h-Aon Choise],,,,954,NG999196,,M100;
MT134,Beinn Fhada - Sgurr a'Dubh Doire,,,,962,NH034185,,M100;
MT153,Beinn Iutharn Mhor - Beinn Iutharn Bheag,,,,953,NO065791,,M088;
MT099,Beinn Iutharn Mhor - Mam nan Carn,,,,986,NO049779,,M088;
MT203,Beinn Mhanach - Beinn a'Chuirn,,,,923,NN360409,,M211;
MT071,Beinn Mheadhoin - Stacan Dubha,,,,1014,NJ011014,,M013;
MT032,Beinn Mheadhoin - Stob Coire Etchachan,,,,1082,NJ024005,,M013;
MT190,Beinn Sgritheall NW Top,,,,928,NG834131,,M183;
MT029,Ben Avon - Carn Eas,,,,1089,NO122992,,M017;
MT119,Ben Avon - Creag an Dail Mhor,,,,972,NO131982,,M017;
MT181,Ben Avon - East Meur Gorm Craig,,,,935,NJ159042,,M017;
MT065,Ben Avon - West Meur Gorm Craig,,,,1023,NJ153036,,M017;
